customer_age,order_value,discount_applied,delivery_time_days,product_category_Books,product_category_Electronics,product_category_Fashion,product_category_Home & Kitchen,product_category_Sports,payment_method_Card,payment_method_UPI,payment_method_Wallet,order_status_Delivered,order_status_Returned,cluster
1.3638323437657565,-0.9029085487255784,1,6,0,1,0,0,0,1,0,0,0,1,c3
1.6549894520367154,1.3532237052715623,0,9,1,0,0,0,0,1,0,0,0,0,c1
1.5822001749689758,-0.4512503645999525,1,3,0,0,0,0,1,0,0,1,0,0,c2
-0.0191639205212987,1.01792158250841,0,5,0,0,0,1,0,0,0,0,1,0,c2
-1.3293709077406144,-0.5071441105335094,0,5,0,1,0,0,0,0,0,1,0,1,c1
0.7815181272238385,1.1445193801558735,1,4,1,0,0,0,0,0,1,0,0,1,c2
0.7815181272238385,0.8816434703265382,0,4,0,0,0,0,0,0,0,0,0,1,c2
0.1264146336141807,1.145813457290965,0,8,0,0,0,1,0,0,0,0,1,0,c3
-0.8198459682664361,0.4571777486903466,0,3,1,0,0,0,0,0,1,0,0,1,c2
-0.3103210287922578,-1.4797665903397186,1,8,0,0,0,0,1,0,0,0,0,1,c3
-0.5286888599954771,0.7247078448320061,0,6,0,0,1,0,0,1,0,0,0,1,c1
-1.474949461876094,-0.5557421808182543,0,10,0,1,0,0,0,0,0,0,0,0,c1
0.7087288501560988,0.3022576272804033,0,10,0,0,1,0,0,1,0,0,1,0,c3
-0.4558995829277373,-0.7729001139433298,1,5,0,0,0,0,0,0,0,1,0,1,c1
0.4175717418851397,0.1340823383392212,0,5,1,0,0,0,0,0,1,0,0,0,c1
-0.8198459682664361,-1.7401371556070822,1,10,1,0,0,0,0,0,1,0,1,0,c3
-0.6742674141309566,-0.8348768645444412,0,7,0,1,0,0,0,1,0,0,0,1,c1
1.1454645125625371,-0.0631184551070445,1,3,0,1,0,0,0,0,1,0,0,0,c2
0.1992039106819204,-1.2634606147211511,0,9,0,1,0,0,0,0,1,0,0,0,c3
1.218253789630277,-0.8760360966339761,1,10,0,0,0,0,1,0,0,0,0,0,c3
0.927096681359318,-1.2119038518108394,0,8,0,0,0,0,1,0,0,1,1,0,c3
1.5822001749689758,0.3659284680138955,0,6,1,0,0,0,0,0,0,0,0,1,c1
-0.0191639205212987,-0.1947858911622624,0,3,0,0,1,0,0,0,0,1,0,0,c2
-0.1647424746567783,0.3352341373552069,0,9,0,0,0,0,1,0,1,0,1,0,c3
-1.2565816306728743,-1.535190145557163,1,1,0,1,0,0,0,0,0,1,0,0,c2
0.9998859584270576,0.5782960700521309,0,10,1,0,0,0,0,0,0,1,0,1,c1
-0.0919531975890385,-0.2406301877604033,0,1,0,0,0,0,1,0,0,1,0,1,c2
0.8543074042915783,-0.5834553619813527,1,3,0,0,0,0,1,0,0,0,0,1,c2
1.3638323437657565,1.394329602294792,1,6,1,0,0,0,0,0,0,1,0,0,c1
-0.0191639205212987,0.9136908274041292,1,10,0,0,1,0,0,0,1,0,0,1,c3
-0.8926352453341758,-0.9470194556687974,1,1,0,1,0,0,0,0,0,1,0,1,c2
-0.0191639205212987,1.3589347680293566,1,4,1,0,0,0,0,0,0,1,0,1,c2
-1.183792353605135,0.0031040474828423,0,5,0,0,1,0,0,0,0,1,1,0,c1
-0.6014781370632168,0.7544547762865874,1,6,0,0,0,0,1,0,1,0,0,1,c1
0.4175717418851397,1.446217604037947,0,6,0,0,0,1,0,0,0,1,0,1,c1
1.5822001749689758,-0.3917298341576369,0,7,0,1,0,0,0,0,1,0,1,0,c3
0.9998859584270576,-1.5501323854488998,0,10,1,0,0,0,0,1,0,0,1,0,c3
0.1264146336141807,-0.3340086604259362,1,6,0,0,0,0,1,0,1,0,0,0,c1
0.9998859584270576,-0.8271418763757992,0,6,0,0,1,0,0,1,0,0,0,0,c1
-0.1647424746567783,-0.4534314881009633,1,6,0,0,0,0,1,0,1,0,0,1,c1
-1.0382137994696552,-1.1674364420560006,1,9,0,0,0,0,0,0,0,1,0,0,c3
-0.0191639205212987,0.657766722401374,1,1,0,0,0,0,1,0,0,1,0,0,c2
-0.3103210287922578,-1.0625221559703864,1,8,1,0,0,0,0,0,0,1,1,0,c3
-0.237531751724518,0.7587973735273381,0,2,0,0,0,0,1,0,0,0,0,0,c2
1.509410897901236,0.8481223811536702,0,8,0,0,0,0,0,0,0,1,1,0,c3
-0.4558995829277373,0.4682307394049276,1,2,0,0,0,0,0,0,0,1,1,0,c2
0.9998859584270576,-1.6259973066050308,1,1,1,0,0,0,0,1,0,0,0,1,c2
0.1264146336141807,-0.2736066978352072,1,5,0,1,0,0,0,0,0,0,0,0,c1
-0.0919531975890385,0.5649917781177165,1,10,0,1,0,0,0,0,1,0,1,0,c3
1.0726752354947977,-1.6330964846411389,0,7,0,0,1,0,0,0,1,0,1,0,c3
0.7087288501560988,0.6824608581007188,1,5,0,1,0,0,0,1,0,0,0,0,c2
-0.3831103058599975,0.109629613992627,1,3,0,0,0,0,1,0,1,0,0,1,c2
-0.1647424746567783,-0.6084063481315886,1,4,0,0,0,0,1,1,0,0,0,0,c2
-0.9654245224019156,-0.1302673035853916,0,2,1,0,0,0,0,0,0,1,0,1,c2
-1.474949461876094,0.3983702238712699,1,5,0,0,0,1,0,0,1,0,0,1,c1
-1.111003076537395,1.0048348415023465,0,3,0,0,0,0,0,0,0,0,0,1,c2
0.3447824648174,1.4404335564525768,1,10,0,0,1,0,0,0,0,0,1,0,c3
-0.4558995829277373,-0.0139617701804704,1,7,0,1,0,0,0,1,0,0,1,0,c3
0.4903610189528795,-0.0829324322394559,0,4,0,0,0,1,0,0,0,1,0,0,c2
0.635939573088359,0.6635395415517324,0,7,0,0,1,0,0,0,0,1,0,1,c1
-1.5477387389438335,1.6509442560507628,0,3,0,0,0,1,0,0,1,0,0,0,c2
-1.0382137994696552,1.6879138783265804,0,7,0,1,0,0,0,1,0,0,1,0,c1
1.0726752354947977,1.50200187273014,1,1,0,1,0,0,0,0,1,0,0,1,c2
0.3447824648174,0.059126920419033,1,8,0,0,0,0,1,0,0,1,1,0,c3
-0.8198459682664361,1.2683170868223104,1,7,0,1,0,0,0,1,0,0,0,0,c1
-0.1647424746567783,-1.567210835101601,1,6,0,0,0,1,0,1,0,0,0,1,c1
0.8543074042915783,-0.5395030566826731,1,7,0,0,1,0,0,0,0,0,0,1,c3
-0.9654245224019156,-0.8710773390219615,0,6,0,0,0,1,0,0,0,1,0,1,c1
-1.6205280160115734,-0.0596811504391069,1,8,1,0,0,0,0,0,0,0,1,0,c3
-0.7470566911986963,0.5820491744547711,1,2,0,0,1,0,0,0,1,0,0,0,c2
0.0536253565464409,-1.3985639518899302,0,5,0,0,0,1,0,0,1,0,0,0,c1
